Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
Federal Bank,MAHARASHTRA,Mumbai Suburban,Mumbai/ Mahavir Nagar (Kandivili West),"Shop No.2, Ground Floor, Konark Elegance, J-24 Mahavir Nagar CHS Ltd., CTS No. 128/1, Mahavir Nagar, Kandivali West",400067.0,,
Federal Bank,KERALA,Ernakulam,NEDUMBASSERY EXTENSION COUNTER,"CIAL Extension Counter Domestic Arrival, Terminal 1 Cochin International Airport Ltd Nedumbassery",683111.0,,
Federal Bank,BIHAR,Muzaffarpur,Muzaffarpur,"Chakia House, Imlichatti Muzaffarpur PO Muzaffarpur Dist Bihar",,,
Federal Bank,MAHARASHTRA,Mumbai City,MUMBAI / MALAD WEST,"Shop No. 1 & 2, Link House, Chincholi Bunder, Link Road Opposite Ichapurti Hanuman Mandir Malad West, Mumbai 400064",400064.0,,
Federal Bank,KERALA,Idukki,ERATTAYAR,"ERATTAYAR, ERATTAYAR.P.O, KATTAPPANA",685514.0,,
Federal Bank,KARNATAKA,Dakshina Kannada,KADABA,"Ground Floor, Anugraha Complex Main Road, Kadaba Dakshina Kannada District Karnataka",574221.0,,
Federal Bank,PUNJAB,Fatehgarh Saheb,SIRHIND,"Ward No.10, Baba Fateh Singh Nagar, Near Aam Khas, Bagh Road, Fatehgarh Sahib, Sirhind Punjab – 140406",,,
Federal Bank,KERALA,Thrissur,PANNITHADAM,"6/6,A.H. Shopping Point Kunnamkulam - Wadakkanchery Road,Chiramanangad P.O Pannithadom - 680604 Thrissur Dt., Kerala.",680604.0,,
Federal Bank,TAMILNADU,Villupuram,Kilpudupattu,"No.9, ECR Road, Ganapathichettikulam Bus stop, Kilpudupattu, Marakanam Taluk, Villupuram District, Tamil Nadu, VILLUPURAM, Tamilnadu, 605014",605014.0,,
Federal Bank,TAMILNADU,Kancheepuram,CHENGALPATTU,"113A, G.S.T ROAD, OPP. SARADHA LODGE, CHENGALPATTU, KANCHEEPURAM, TAMIL NADU",603001.0,,
Federal Bank,TAMILNADU,Tiruchirappalli,TIRUCHIRAPALLY,"75 E/1 ,SALAI ROAD ,THILLAI NAGAR,OPP TO KANNAPA HOTEL,TIRUCHIRAPPALLY",620018.0,,
Federal Bank,KARNATAKA,Bangalore Rural,CHANNAPATNA,"ANUGRAHA TOWERS, 8TH CROSS, B M ROAD, KUVEMPUNAGAR, CHANNAPATNA, BANGALORE RURAL, KARNATAKA",571501.0,,
Federal Bank,ANDHRA PRADESH,Guntur,Budampadu,"The Federal Bank Ltd D No 165/A4, Budampadu Village Near Ramalayam, Guntur Rural-522017",,,
Federal Bank,TAMILNADU,Vellore,RANIPET,"No.136, SKT Complex, MBT Road, Muthukadai, Ranipet 632401",632401.0,,
Federal Bank,ANDHRA PRADESH,Krishna,Machilipatnam,"10/393-1A, Beside Vani Bakery, Balaramunipet, Srinivas Nagar,Colony, Machilipatnam, Andhra Pradesh, Krishna, Andhra Pradesh, 521001",521001.0,,
Federal Bank,TAMILNADU,Tiruppur,Thonguttipalayam,"Door No 2/3, Peruntholuvu - Alagumalai Main Road, Thonguttipalayam Village, Tiruppur District, Tamil Nadu 641665",641665.0,,
Federal Bank,KERALA,Malappuram,CHEMMAD,"MAJESTIC TOWER, PARAPPANANGADI ROAD, TIRURANGADI P.O, CHEMMAD, MALAPPURAM, KERALA",676306.0,,
Federal Bank,KERALA,Palakkad,KOTTOPPADAM,"Winner Arcade, Melattur- Mannarkkad Road, Palakkad, Kerala, 678583",678583.0,,
Federal Bank,KERALA,Ernakulam,Fintech Partnerships (Jupiter),"Ground Floor, Integated Startup Complex, Kinfra Hitech Park, HMT Colony, Near Kalamassery Medical College, ErnakulamKerala",683503.0,,
Federal Bank,KERALA,Alappuzha,CHEPPAD,"Opposite Christ King Higher Secondary School, National Highway, Cheppad P O, Alappuzha District, Kerala – 690507",690507.0,,
Federal Bank,KARNATAKA,Kolar,Kolar,"Ground Floor, PID 24-1-15-14D, Opp to Kuvempu Park, Antharagange Road, Keelukote Layout, Kolar, Karnataka, Kolar, Karnataka, 563101",563101.0,,
Federal Bank,UTTAR PRADESH,Ghaziabad,Ghaziabad/Vaishali,"Express Greens, Plot No.GH 1/1, Sector 1 , Vaishali,Ghaziabad,Uttar Pradesh",201010.0,,
Federal Bank,KERALA,Pathanamthitta,KONNI,"Roy Mannikkoikkal’s Zion, Mammode, Konni, Kerala- 689691",689691.0,,
Federal Bank,KERALA,Idukki,PUTTADI,"BANK JUNCTION, PUTTADI, VANDANMEDU, IDUKKI, KERALA",685551.0,,
Federal Bank,KERALA,Kasaragod,NILESHWAR,Krishna Arcade Raja Road Nileshwar Kasargode 671 314,671314.0,,
Federal Bank,KERALA,Palakkad,NEMMARA,"LAKSHMI COMPLEX, OPP. TO BUS STAND, NEMMARA P.O, PALAKKAD, KERALA",678508.0,,
Federal Bank,KERALA,Idukki,KATTAPPANA,"HILLSON PLAZA, IDUKKI KAVALA, KATTAPPANA, KERALA",685508.0,,
