Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
,DELHI,NOIDA,NOIDA SECTOR-45,"Jana Small Finance Bank Ltd. Ground Floor, Shop No. 7D, Plot No.GH- 04/B, Prateek Stylome, Sector-45, Noida-201301, Dist- Gautam Buddha Nagar, UP - 201301.",201301,,
,ASSAM,KAMRUP METROPOLITAN,TATIMARA,"Jana Small Finance Bank Ltd.,Pragjyotishpur, Chandrapur, Kamrup Metro, Assam-781150",781150,,
,KARNATAKA,SHIMOGA,SHIVAMOGGA,"Jana Small Finance Bank Ltd., #880, 2nd floor, SS Complex,B H Road, Shivamogga- 577202",577202,,
,TAMIL NADU,COIMBATORE,POLLACHI,"Jana Small Finance Bank , No.7/1,Venkatramana Round Road, Mahalingapuram, Pollachi 642002",642002,,
,TAMIL NADU,CHENNAI,URAPAKKAM,"Jana Small Finance Bank,No.224/B, GST Road, Urapakkam, Chengalpattu,Chennai,Tamilnadu-603210",603210,,
,RAJASTHAN,BIKANER,DHEERDESAR CHOTIYAN,"Jana Small Finance Bank Ltd., Dhirdesar Chotiyan, Near Kitasar NH- 11, Sri Dungargarh Bikaner (Raj.) 331803",331803,,
,GUJARAT,BANAS KANTHA,PALANPUR,"Jana Small Finance Bank Ltd. S-9 Complex, Ground Floor, G-7 & 8, Opp. Bihari Baug, Abu Road Highway, Palanpur – 385001, District – Banaskantha, State - Gujarat”",385001,,
,Odisha,KALAHANDI,NASIGAON,"Jana Small Finance Bank Ltd., Gram panchayat Office Nasigaon,Po-Pastikudi,Dist-Kalahandi,Pin-766011",766011,,
,RAJASTHAN,ALWAR,ALWAR,"Jana Small Finance Bank Ltd, Ground Floor, Jayanti Mall, Near Ashok Circle (Nangli Cirle), Raghu Marg , Alwar -301001, Rajasthan (India)",301001,,
,BIHAR,GAYA,GAYA,"Jana Small Finance Bank Ltd.,""Gayatri Complex"",Ground & 1st floor, Laheriya Tola, Kotwali Thana, Gaya -823001,India",823001,,
,Odisha,BOLANGIR,PATNAGARH-2,"Jana Small Finance Bank Ltd., At/Po-Brahmapur Chowk, Patnagarh,Dist-Bolangir,ODISHA-767025",767025,,
,KARNATAKA,RAMANAGARA,MARALA BEKUPPE,"Jana Small Finance Bank Ltd., Ground Floor, Maralabekuppe Village , Kanakapura Taluk , Ramanagaram -562117,India",562117,,
,RAJASTHAN,PALI,DHARAMDHARI,"Jana Small Finance Bank Ltd., 3 Main Salawas Road, Near Sangriya Bypass, Jodhpur Sangriya, 342013.",342013,,
,MADHYA PRADESH,BHOPAL,M P NAGAR ZONE 2,"Jana Small Finance Bank Ltd., Ground Floor, Plot No 131/01, M P Nagar Zone II ,  Bhopal -462011,India",462011,,
,CHHATTISGARH,JANJGIR-CHAMPA,CHAMPA,"Jana Small Finance Bank , Ground Floor, Shop No.1,2,3,4,8,9,10,11, ""Didwania Complex"", Near Gaushala, Sadar Road, Champa, Dist Janjgir-Champa,  Chhattisgarh-495671,India",495671,,
,TAMIL NADU,DHARMAPURI,ADAGAPADI,"Jana Small Finance Bank Ltd., Ground Floor, Door No.2/359,Near Seliamman Kovil, Adagapadi bus stop, Adagapadi, Adagapaddi Village , Dharmapuri -636803,India",636803,,
,PUNJAB,BATHINDA,RAMPURA PHUL,"Jana Small Finance Bank, Ground floor Ward number 10 Fareed Nagar, , Rampura, Bathinda-",,,
,MAHARASHTRA,AHMEDNAGAR,AHMEDNAGAR,"Jana Small Finance Bank Ltd, , Shop no 11,12 and 13, Kankariya Plaza, Laltaki, Ahmednagar - 414001",414001,,
,ODISHA,MAYURBHANJ,JASHIPUR,"Jana Small Finance Bank Ltd.,At-jashipur,po--Saroda Jashipur via-Bahalada,  Dist-Mayurbhanj,Pin--757054",757054,,
,DELHI,DELHI,LAJPAT NAGAR-2,"Jana Small Finance Bank Ltd.O-19, Ground Floor, Lajpat Nagar-2, New Delhi-110024",110024,,
,WEST BENGAL,KOLKATA,"DIAMOND HERITAGE, KOLKATA","Jana Small Finance Bank Ltd, Ground floor, DIAMOND HERITAGE, Bearing No. , HG - 01B, Ward No. 45, No. 16, Strand Road, Kolkata -700001,India",700001,,
,ASSAM,KAMRUP METROPOLITAN,"FANCY BAZAR, GUWAHATI","Jana Small Finance Bank Ltd, , 1st Floor, ""DUGAR BUILDING"", T.R.Phukan Road , Fancy bazar PO, Panbazar, Guwahati -781001,India",781001,,
,ODISHA,KENDUJHAR,BAIKALA,"Jana Small Finance Bank Ltd., at-Baikala,po-Baikala,Via-Karanjia,Dist-Mayurbhanja,Pin-758045",758045,,
,MADHYA PRADESH,PANNA,GUNOUR,"Jana Small Finance Bank Ltd., House number 38 Hardwahi, Gram Post Hardwani Tehsil Gunaur, Hardwahi, Hardwahi, Panna, Madhya Pradesh, 488051",488051,,
,TAMIL NADU,CHENNAI,ARUMBAKKAM,"Jana Small Finance Bank Ltd. ,Old No. 67, New No. 36, Razak Garden main road , Arumbakkam ,Chennai - 600106.",600106,,
,MAHARASHTRA,MUMBAI SUBURBAN,CHEMBUR,"Jana Small Finance Bank Ltd., ground floor, Arjun Center, Gala No. 8, , Deonar on Govandi Station Road, Bombay, Kurla Taluka. , Mumbai -400088",400088,,
,WEST BENGAL,KOLKATA,THAKURPUKUR,"Jana Small Finance Bank Ltd, Groud And 1st Floor Riddhi Siddhi Shree , Mahatma Gandhi Road ,  , ,Kolkata ,700063,India",700063,,
,MAHARASHTRA,PUNE,VIMAN NAGAR,"Jana Small Finance Bank Lgd., Shop no 3-6 Ground Floor & Office no 9-10  1st Floor,. Buena Vista, Plot no 58, CTS 32, Lohegaon, vimannagar, Pune, Dist- Pune, Maharashtra - 411014",411014,,
,MADHYA PRADESH,RATLAM,HATPIPLYA,"Jana Small Finance Bank Ltd., Jaora Tal Main Road , opposite Balaji temple, Hatpipliya  teh. tal , dist- Ratlam, Jaora, Madhya Pradesh, PIN - 457118",457118,,
,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHIRAPPALLI,"Jana Small Finance Bank Ltd, Ground Floor, No.74-A New Block No. 21 , Salai Road Thiruchirapalli Taluk , Thiruchirappalli -620018,India",620018,,
,TAMIL NADU,SALEM,OMALUR,"Jana Small Finance Bank Ltd , 482/5, Shri Shanmuga Arcade, Dharmapuri Main Road, Near Krishna Mahal kalyana Mandapam, Omalur-636455.",636455,,
,TAMIL NADU,MADURAI,USILAMPATTI,"Jana Small Finance Bank Ltd., c/o. Mr. Mathizhagan, Door no:8/311, PRC Dippo opposite, Usilampatti, Usilampatti (TK), Madurai(DT) - 625532",625532,,
,UTTAR PRADESH,DEORIA,DEORIA,"Jana Small Finance Bank Ltd., 1st floor, H.No.543, Kotwali Road, Mohalla Bansh, Opp. Govt Inter College, Deoria - 274001",274001,,
,KARNATAKA,MYSORE,MYSORE,"Jana Small Finance Bank Ltd., No. 2391/1, II Floor,Near Railway Under Bridge,New Kantharaja Urs Road, K G Koppal,Mysore – 570009",570009,,
,ODISHA,SONEPUR (SUBARNAPUR),SALEPALI,"Jana Small Finance Bank Ltd., Gram panchayat Office,Samleichuan,Po-Samleichuan,Dist-Sonepur,Pin-767023",767023,,
,UTTAR PRADESH,AYODHYA,AYODHYA,"Jana Small Finance Bank LTD, Ground Floor & First Floor, Property bearing No.-8/2/25, Rekabaganj Faizabad, Ayodhya, Uttar Pradesh tehsil Sadar Distt. Ayodhya 224001",224001,,
,GUJARAT,KACHCHH,BHUJ,"Jana Small Finance Bank Ltd., Ground Floor, Shop No. 1,2 & 3,Turning Point, Opp Lohana Samaj Vadl, Santosh Society, Near V D High School, Bhuj 370001 Kutch, Gujarat",370001,,
,KARNATAKA,BIDAR,BIDAR,"Jana Small Finance Bank, Below Shivshakti Tower, Shivnagar North, Bidar - 585401",585401,,
,TAMIL NADU,THANJAVUR,THANJAVUR,"Jana Small Finance Bank Ltd,Ground Floor,Nrs Kingdom Square,No.2851/16P,Near Ktp Shanmuga Sundaram Complex,Arulanandha Nagar,Thanjavur - 613007,India",613007,,
,TAMIL NADU,CHENNAI,PALLAVARAM,"Jana Small Finance Bank Ltd., No.44,GST Road,Pallavaram, Chennai - 600043",600043,,
,MADHYA PRADESH,GWALIOR,GWALIOR 2/LAXMIGANJ,"Jana Small Finance Bank Ltd, 1st Floor, Shubham Plaza, Above State Bank of India, Near Laxmiganj Mandi, A.B. Road, Lashkar, Gwalior, Madhya Pradesh",,,
,KARNATAKA,BANGALORE URBAN,VIJAYNAGAR,"Jana Samll Finance Bank Ltd., Ground Floor, No. 33 (Old No. 1733/33), 17th Cross, MRCR Layout, Vijayanagar, Bangalore 560040",560040,,
,MADHYA PRADESH,UJJAIN,AMLAWADBIKA,"Jana Small Finance Bank Ltd., Makan No. 82, Asanpura, Kharsodkalan, Ujjain, MP, 456313.",456313,,
,TAMIL NADU,CHENNAI,POONAMALLEE,"Jana Small Finance Bank, No.792,Trunk Road, Poonamallee, Chennai - 600056",600056,,
,ODISHA,JHARSUGUDA,TILIA,"Jana Small Finance Bank Ltd., GP Office Tilia, Lakhanpur Block, Jharsuguda Dist,PIN: 768211",768211,,
,GUJARAT,AHMEDABAD,CHANDKHEDA,"Jana Small Finance Bank., 1st Floor, 101 Sigma Arcade, Above Vijay Sales,New Visat Petrol Pump, Chandkheda,Ahmedabad-382424",382424,,
