Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
IndusInd Bank,Maharashtra,Yavatmal,Yavatmal,"Ground Floor, Shop No. 1 & 2, Shree Krupa, Kasbe Yavatmal City, Opp. District Court, Dhamangaon Road, Yavatmal, PIN:  445001 Maharashtra",445001,20.395904,78.128796
IndusInd Bank,KARNATAKA,Bangalore,"Nandi Durga Rd, Bangalore","Ground Floor, No. 79/4, Nandi Durga Road Jayamahal, Bangalore, Karnataka - 560046",560046,12.997885,77.600818
IndusInd Bank,NCT of Delhi,South East Delhi,Defence Colony,"A-276, Bhishma Pitamah Marg, Defence Colony, New Delhi-110024, New Delhi",110024,28.574262,77.229036
IndusInd Bank,PUNJAB,Balachaur,Balachaur,"INDUSIND BANK, GROUND FLOOR, B03-1088, KHASRA NO.27//19/3, KHATA NO.423/493, G.T.ROAD, GARHSHANKAR ROAD, BALACHAUR, DISTRICT SBS NAGAR, PUNJAB - 144521",144521,31.0676541,76.2960829
IndusInd Bank,Uttar Pradesh,Meerut,Delhi Road Meerut,"Ground Floor, Khasara No. 1962, Shivshakti Nagar, Delhi Road, Punjabi Pura, Meerut, Pin code 250001  Uttar Pradesh",250001,28.964932,77.68681
IndusInd Bank,Kerala,Kottayam,Ettumanoor,"Ground Floor, Premises no. 6/164 –A, Block No.29,Pala Road, Survey no. 163/16-1, Ettumanuur, Pin code 686631 Kottayam",686631,9.671403,76.561442
IndusInd Bank,Tripura,North Tripura,Dharmanagar,"Kadamtala Road, Near Auto Stand, Dharmanagar - 799250, Tripura",799250,24.38596,92.16825
IndusInd Bank,MAHARASHTRA,Mumbai,"Bangur Nagar, Goregaon W","GROUND FLOOR, VERVE BY KOLTE PATIL, SHOP NO 6, NR. D-MART BANGUR NAGAR, LINK ROAD GOREGAON W, MUMBAI - 400104",400104,19.16393,72.8347015
IndusInd Bank,NCT OF DELHI,NEW DELHI,"Mayapuri, Delhi","Ground Floor, Plot No 7, Community Centre, Mayapuri, Phase-1, New Delhi - 110064",110064,28.631386,77.125443
IndusInd Bank,NCT of Delhi,West Delhi,"Sec. 9, Rohini, Delhi","Ground and First Floor, Northex Mall, Shop No. A-1,2,9,10 and 101, Sector-9, Rohini, New Delhi -110085",110085,28.714444,77.129167
